Type,Name,Description,Dependencies,Key Features,Module,Status
COMPONENT,Auth Components,"Authentication UI components","Auth stores, WebAuthn composables","Login, register, password reset, WebAuthn, MFA",Auth,Active
COMPONENT,Appointment Components,"Appointment UI components","Appointment stores, Calendar, Pricing","Calendar view, appointment form, status display, payment info",Appointments,Active
COMPONENT,Payment Components,"Payment UI components","Wallee integration, Payment stores","Payment form, payment status, receipt display, cash balance",Payments,Active
COMPONENT,Booking Components,"Public booking UI components","Availability, Location, Booking proposals","Booking form, availability selector, confirmation",Booking,Active
COMPONENT,Admin Components,"Admin dashboard components","Admin stores, Analytics","User management, statistics, settings, logs",Admin,Active
COMPOSABLE,useCurrentUser,"Current user session management","Auth store, Users table","User data, role management, permissions",Auth,Active
COMPOSABLE,useWebAuthn,"WebAuthn operations","Webauthn credentials, WebAuthn sessions","Register, authenticate, list credentials",Auth,Active
COMPOSABLE,useCalendarCache,"Calendar data caching","Appointments, Cache management","Cache appointments, invalidate cache",Calendar,Active
COMPOSABLE,usePricing,"Pricing calculations","Pricing rules, Products, Discounts","Calculate prices, apply discounts",Pricing,Active
COMPOSABLE,usePendingTasks,"Task/pendency management","Pendencies table, Users","Fetch, create, update tasks",Admin,Active
COMPOSABLE,useTenantBranding,"Tenant branding customization","Tenants table, Tenant assets","Get logo, colors, branding elements",Branding,Active
COMPOSABLE,useCancellationReasons,"Cancellation reason management","Cancellation reasons table","Fetch active/all reasons, create, update",Appointments,Active
UTILITY,Supabase Client,"Supabase database client","PostgreSQL, Supabase Auth","Database queries, auth integration",Core,Active
UTILITY,JWT Utils,"JWT token handling","auth.users, Supabase Auth","Token creation, verification",Auth,Active
UTILITY,Wallee Provider,"Wallee payment service","Wallee API","Transaction creation, webhook handling",Payments,Active
UTILITY,Availability Calculator,"Availability slot computation","Staff working hours, Appointments, Availability slots","Calculate available slots, handle constraints",Scheduling,Active
UTILITY,Template Renderer,"Email/SMS template rendering","Reminder templates, Reminders","Render templates with variables",Messaging,Active
UTILITY,Session Persistence,"Session data persistence","Browser storage, Session manager","Save/restore session",Core,Active
STORE,Auth Store,"Pinia store for authentication","Users, auth.users, WebAuthn","User data, role, permissions, login state",Auth,Active
STORE,UI Store,"Pinia store for UI state","Notification, Loading state","Notifications, dialogs, loading indicators",UI,Active
MIDDLEWARE,Auth Middleware,"Route protection middleware","Auth store, Users","Check authentication, role-based access",Auth,Active
PLUGIN,Session Auto Save,"Auto-save session data","Session persistence","Save session periodically",Core,Active
PLUGIN,Auth Restore,"Restore authentication on app load","Auth store, Session","Restore user on app load",Auth,Active
PLUGIN,Fetch Interceptor,"Global fetch interceptor","Auth middleware","Add auth headers, error handling",Core,Active
LAYOUT,Default Layout,"Standard layout template","Components, stores","Header, sidebar, main content, footer",UI,Active
LAYOUT,Minimal Layout,"Minimal layout template","Components","Simple header, content area",UI,Active
LAYOUT,Tenant Admin Layout,"Tenant admin layout template","Admin components","Admin sidebar, content area",Admin,Active
I18N,de,German language,"Locales folder","German translations for all UI",Localization,Active
I18N,en,English language,"Locales folder","English translations for all UI",Localization,Active
I18N,fr,French language,"Locales folder","French translations for all UI",Localization,Active
I18N,it,Italian language,"Locales folder","Italian translations for all UI",Localization,Active
DATABASE,PostgreSQL,"PostgreSQL database via Supabase","Supabase","Relational database, PostGIS, RLS",Core,Active
AUTH,Supabase Auth,"Supabase authentication service","PostgreSQL, auth.users","User authentication, session management",Core,Active
PAYMENT,Wallee,"Swiss payment provider","Payment API, Webhooks","Online payments, TWINT, transaction tracking",Payments,Active
PAYMENT,Stripe,"Payment provider","Stripe API","Card payments, PayPal, TWINT",Payments,Active
EMAIL,Resend,"Email service provider","Email templates, Resend API","Send emails, templates, tracking",Messaging,Active
SMS,Twilio,"SMS service provider","SMS templates, Twilio API","Send SMS, tracking",Messaging,Active
EXTERNAL,SARI System,"VKU/PGS course management system","SARI API, Webhooks","Course data, student enrollment",Integration,Active
EXTERNAL,FullCalendar,"Calendar library","Appointments, Events","Calendar display, event management",UI,Active
EXTERNAL,jsPDF,"PDF generation library","Invoices, Receipts","Generate PDF documents",Documents,Active
EXTERNAL,Tailwind CSS,"Utility-first CSS framework","Styles, Components","Responsive design, styling",UI,Active
EXTERNAL,Nuxt UI,"Vue 3 UI component library","Tailwind CSS, Components","Pre-built components, styling",UI,Active
